method,cond,metric,mean,sd,n_trials,values
bo,nominal,cycles_mean,2,0,5,2;2;2;2;2
bo,nominal,wall_dist_err_cm,12.0422,3.02896,5,10.1579;10.5735;17.2251;12.235;10.0197
bo,nominal,tilt_heave_deg,0.370275,0.204498,5,0.235019;0.238126;0.666758;0.502697;0.208772
bo,nominal,tilt_sway_deg,1.22573,9.6268e-05,5,1.22574;1.22579;1.22557;1.22575;1.22581
bo,nominal,crab_deg,0.577461,0.708034,5,0.0101255;0.381343;1.78112;0.580117;0.134603
bo,nominal,s_hat_err_cm,0,0,5,0;0;0;0;0
bo,nominal,heave_speed_mps,0.200061,1.61591e-08,5,0.200061;0.200061;0.200061;0.200061;0.200061
bo,nominal,sway_speed_mps,0.0998048,5.9005e-07,5,0.0998052;0.0998043;0.0998042;0.0998049;0.0998056
bo,nominal,terminations.collided,0,0,5,0;0;0;0;0
bo,nominal,controller_cost.solve_ms_mean,7.75988,0.121095,5,7.61996;7.66207;7.92015;7.7783;7.81891
bo,nominal,controller_cost.fail_frac,0,0,5,0;0;0;0;0
bo,nominal,controller_cost.saturated_frac,0.0104444,0.0108739,5,0.00222222;0.00477778;0.0268889;0.0162222;0.00211111
diff,nominal,cycles_mean,2,0,5,2;2;2;2;2
diff,nominal,wall_dist_err_cm,12.1186,3.18805,5,10.1544;10.5656;17.6012;12.2304;10.0416
diff,nominal,tilt_heave_deg,0.131839,0.132463,5,0.0449627;0.0432358;0.295493;0.255938;0.0195671
diff,nominal,tilt_sway_deg,0.0295837,1.7569e-05,5,0.0295821;0.0295652;0.0296121;0.0295747;0.0295844
diff,nominal,crab_deg,0.615558,0.859878,5,0.00756374;0.301228;2.1102;0.543119;0.115674
diff,nominal,s_hat_err_cm,0,0,5,0;0;0;0;0
diff,nominal,heave_speed_mps,0.200236,2.2311e-09,5,0.200236;0.200236;0.200236;0.200236;0.200236
diff,nominal,sway_speed_mps,0.100611,2.21292e-07,5,0.100611;0.100611;0.100611;0.100611;0.100612
diff,nominal,terminations.collided,0,0,5,0;0;0;0;0
diff,nominal,controller_cost.solve_ms_mean,9.94614,0.637969,5,8.98439;9.62829;10.5305;10.3908;10.1967
diff,nominal,controller_cost.fail_frac,0,0,5,0;0;0;0;0
diff,nominal,controller_cost.saturated_frac,0.0150444,0.0109433,5,0.00633333;0.0103333;0.0314444;0.0208889;0.00622222
nominal,nominal,cycles_mean,2,0,5,2;2;2;2;2
nominal,nominal,wall_dist_err_cm,12.7608,2.51514,5,9.90589;14.9102;13.4125;15.248;10.3272
nominal,nominal,tilt_heave_deg,0.336751,0.128338,5,0.197177;0.375714;0.330428;0.530086;0.25035
nominal,nominal,tilt_sway_deg,1.11402,6.87157e-06,5,1.11402;1.11401;1.11402;1.11402;1.11402
nominal,nominal,crab_deg,0.72606,0.556842,5,0.138777;1.37825;1.07449;0.882168;0.156616
nominal,nominal,s_hat_err_cm,0,0,5,0;0;0;0;0
nominal,nominal,heave_speed_mps,0.195758,2.36791e-08,5,0.195758;0.195758;0.195758;0.195758;0.195758
nominal,nominal,sway_speed_mps,0.0935917,8.05071e-07,5,0.0935926;0.0935907;0.0935913;0.0935916;0.0935925
nominal,nominal,terminations.collided,0,0,5,0;0;0;0;0
nominal,nominal,controller_cost.solve_ms_mean,8.8202,0.139836,5,8.60087;8.87828;8.79766;8.98043;8.84376
nominal,nominal,controller_cost.fail_frac,0,0,5,0;0;0;0;0
nominal,nominal,controller_cost.saturated_frac,0.00675556,0.00687517,5,0;0.0104444;0.00722222;0.016;0.000111111
ppo,nominal,cycles_mean,2,0,5,2;2;2;2;2
ppo,nominal,wall_dist_err_cm,6.45561,0.409991,5,6.96955;6.18311;6.12159;6.17164;6.83214
ppo,nominal,tilt_heave_deg,0.891447,0.0227334,5,0.929407;0.877807;0.875597;0.895961;0.878463
ppo,nominal,tilt_sway_deg,1.89873,0.137008,5,1.85056;2.05298;1.91676;1.6936;1.97977
ppo,nominal,crab_deg,0.902869,0.249903,5,0.777305;1.10282;0.857209;0.57902;1.19799
ppo,nominal,s_hat_err_cm,1.16949,0.0359744,5,1.22488;1.16003;1.12478;1.1658;1.17195
ppo,nominal,heave_speed_mps,0.19731,0.000356363,5,0.197062;0.197681;0.197351;0.196845;0.197612
ppo,nominal,sway_speed_mps,0.118599,0.00158594,5,0.118829;0.116732;0.119963;0.120256;0.117215
ppo,nominal,terminations.collided,0,0,5,0;0;0;0;0
ppo,nominal,controller_cost.solve_ms_mean,0.0407084,0.000472493,5,0.0400893;0.0406693;0.0410672;0.040449;0.0412672
ppo,nominal,controller_cost.fail_frac,0,0,5,0;0;0;0;0
ppo,nominal,controller_cost.saturated_frac,0.651711,0.0118697,5,0.657;0.650403;0.639069;0.669014;0.643069
ssi,nominal,cycles_mean,2,0,5,2;2;2;2;2
ssi,nominal,wall_dist_err_cm,12.1332,3.03292,5,10.172;10.5696;17.2013;12.7082;10.0149
ssi,nominal,tilt_heave_deg,0.36092,0.197622,5,0.234852;0.237987;0.66495;0.458431;0.208378
ssi,nominal,tilt_sway_deg,1.22594,0.00111176,5,1.2265;1.22629;1.22396;1.22651;1.22645
ssi,nominal,crab_deg,0.654508,0.731125,5,0.0101577;0.383913;1.79057;0.953022;0.134876
ssi,nominal,s_hat_err_cm,0,0,5,0;0;0;0;0
ssi,nominal,heave_speed_mps,0.199972,4.34898e-06,5,0.19997;0.199971;0.199969;0.19998;0.19997
