method,cond,metric,mean,sd,n_trials,values
rc,nominal,cycles_mean,2,0,5,2;2;2;2;2
rc,nominal,wall_dist_err_cm,12.1526,3.1298,5,10.1567;10.5707;17.4491;12.5516;10.035
rc,nominal,tilt_heave_deg,0.122867,0.12236,5,0.0448332;0.0421346;0.287328;0.220559;0.0194778
rc,nominal,tilt_sway_deg,0.034889,0.00033804,5,0.0345915;0.0350175;0.0354055;0.0348269;0.0346036
rc,nominal,crab_deg,0.629712,0.800511,5,0.0115638;0.304626;1.97139;0.743531;0.117446
rc,nominal,s_hat_err_cm,0,0,5,0;0;0;0;0
rc,nominal,heave_speed_mps,0.200093,4.4173e-06,5,0.200092;0.200091;0.2001;0.200093;0.200088
rc,nominal,sway_speed_mps,0.100475,5.14961e-05,5,0.100507;0.10047;0.100388;0.100505;0.100507
rc,nominal,terminations.collided,0,0,5,0;0;0;0;0
rc,nominal,controller_cost.solve_ms_mean,8.34499,1.05388,5,6.59462;8.32969;8.78644;9.39889;8.61531
rc,nominal,controller_cost.fail_frac,0,0,5,0;0;0;0;0
rc,nominal,controller_cost.saturated_frac,0.0161111,0.0112244,5,0.00711111;0.0113333;0.0331111;0.0217778;0.00722222
rc_naive,nominal,cycles_mean,2,0,5,2;2;2;2;2
rc_naive,nominal,wall_dist_err_cm,12.1321,3.07859,5,10.156;10.5622;17.3204;12.5903;10.0315
rc_naive,nominal,tilt_heave_deg,0.128643,0.134882,5,0.0448333;0.0394566;0.323924;0.216018;0.0189827
rc_naive,nominal,tilt_sway_deg,0.0336055,0.00156691,5,0.031163;0.0343198;0.0348656;0.0347471;0.032932
rc_naive,nominal,crab_deg,0.624097,0.75641,5,0.011513;0.310131;1.85704;0.822837;0.118968
rc_naive,nominal,s_hat_err_cm,0,0,5,0;0;0;0;0
rc_naive,nominal,heave_speed_mps,0.200113,1.14203e-05,5,0.200114;0.200122;0.200093;0.200119;0.200117
rc_naive,nominal,sway_speed_mps,0.10051,6.12348e-05,5,0.100562;0.100531;0.100426;0.100468;0.100565
rc_naive,nominal,terminations.collided,0,0,5,0;0;0;0;0
rc_naive,nominal,controller_cost.solve_ms_mean,8.40458,0.344004,5,8.15706;8.43954;8.71038;8.75355;7.96234
rc_naive,nominal,controller_cost.fail_frac,0,0,5,0;0;0;0;0
rc_naive,nominal,controller_cost.saturated_frac,0.0162444,0.0110357,5,0.00766667;0.0115556;0.0332222;0.0213333;0.00744444
