method,cond,metric,mean,sd,n_trials,values
diff,sine,cycles_mean,2,0,3,2;2;2
diff,sine,wall_dist_err_cm,12.9772,4.49368,3,10.1778;10.5934;18.1605
diff,sine,tilt_heave_deg,1.04532,0.528448,3,1.26205;0.442964;1.43095
diff,sine,tilt_sway_deg,0.146375,0.0428102,3,0.164113;0.097547;0.177465
diff,sine,crab_deg,0.929936,1.22765,3,0.0847778;0.366915;2.33812
diff,sine,s_hat_err_cm,0,0,3,0;0;0
diff,sine,heave_speed_mps,0.200229,3.57208e-06,3,0.200226;0.200233;0.200228
diff,sine,sway_speed_mps,0.100752,0.000551137,3,0.100151;0.101233;0.100871
diff,sine,terminations.collided,0,0,3,0;0;0
diff,sine,controller_cost.solve_ms_mean,9.83084,0.485131,3,10.0242;10.1895;9.27885
diff,sine,controller_cost.fail_frac,0,0,3,0;0;0
diff,sine,controller_cost.saturated_frac,0.018037,0.0167348,3,0.00644444;0.0104444;0.0372222
diff,step,cycles_mean,2,0,3,2;2;2
diff,step,wall_dist_err_cm,13.4435,4.7673,3,10.4168;10.9749;18.9389
diff,step,tilt_heave_deg,1.56051,0.793824,3,1.9532;0.646878;2.08145
diff,step,tilt_sway_deg,0.234863,0.0626815,3,0.27093;0.162484;0.271173
diff,step,crab_deg,1.11424,1.4279,3,0.15559;0.431816;2.75531
diff,step,s_hat_err_cm,0,0,3,0;0;0
diff,step,heave_speed_mps,0.200223,7.26507e-06,3,0.200218;0.200231;0.20022
diff,step,sway_speed_mps,0.100461,0.000146501,3,0.10054;0.100292;0.100551
diff,step,terminations.collided,0,0,3,0;0;0
diff,step,controller_cost.solve_ms_mean,9.77215,0.646611,3,9.1267;9.76985;10.4199
diff,step,controller_cost.fail_frac,0,0,3,0;0;0
diff,step,controller_cost.saturated_frac,0.0192593,0.0176276,3,0.00777778;0.0104444;0.0395556
nominal,sine,cycles_mean,2,0,3,2;2;2
nominal,sine,wall_dist_err_cm,15.7722,5.68291,3,14.0472;11.1517;22.1178
nominal,sine,tilt_heave_deg,1.58641,0.150957,3,1.45464;1.55347;1.75111
nominal,sine,tilt_sway_deg,1.38484,0.189836,3,1.24697;1.60136;1.30619
nominal,sine,crab_deg,1.40297,1.18542,3,0.506011;0.955994;2.7469
nominal,sine,s_hat_err_cm,0,0,3,0;0;0
nominal,sine,heave_speed_mps,0.195762,1.82811e-05,3,0.195744;0.195781;0.19576
nominal,sine,sway_speed_mps,0.0927241,0.00444392,3,0.0885355;0.0922513;0.0973856
nominal,sine,terminations.collided,0,0,3,0;0;0
nominal,sine,controller_cost.solve_ms_mean,8.65663,0.0652473,3,8.71649;8.6663;8.58708
nominal,sine,controller_cost.fail_frac,0,0,3,0;0;0
nominal,sine,controller_cost.saturated_frac,0.0067037,0.0114187,3,0.000111111;0.000111111;0.0198889
nominal,step,cycles_mean,2,0,3,2;2;2
nominal,step,wall_dist_err_cm,21.2744,7.21888,3,20.4823;14.4842;28.8566
nominal,step,tilt_heave_deg,2.39373,0.196902,3,2.19415;2.39918;2.58784
nominal,step,tilt_sway_deg,1.68927,0.566891,3,1.13131;2.26469;1.67179
nominal,step,crab_deg,2.08385,1.46279,3,1.06915;1.42178;3.76062
nominal,step,s_hat_err_cm,0,0,3,0;0;0
nominal,step,heave_speed_mps,0.195748,1.55502e-05,3,0.195738;0.195741;0.195766
nominal,step,sway_speed_mps,0.0934433,0.000904739,3,0.0940774;0.0924072;0.0938452
nominal,step,terminations.collided,0,0,3,0;0;0
nominal,step,controller_cost.solve_ms_mean,8.68413,0.0493364,3,8.65765;8.65368;8.74105
nominal,step,controller_cost.fail_frac,0,0,3,0;0;0
nominal,step,controller_cost.saturated_frac,0.008,0.013664,3,0.000111111;0.000111111;0.0237778
ssi,sine,cycles_mean,2,0,3,2;2;2
ssi,sine,wall_dist_err_cm,12.7687,4.13758,3,10.197;10.5676;17.5416
ssi,sine,tilt_heave_deg,1.76466,0.24763,3,1.56889;1.68206;2.04303
ssi,sine,tilt_sway_deg,1.38842,0.340471,3,1.02733;1.43431;1.70362
ssi,sine,crab_deg,1.00385,1.03788,3,0.227711;0.601098;2.18274
ssi,sine,s_hat_err_cm,0,0,3,0;0;0
ssi,sine,heave_speed_mps,0.199967,3.72638e-06,3,0.199969;0.199969;0.199963
ssi,sine,sway_speed_mps,0.0998258,0.000220058,3,0.0997829;0.100064;0.0996304
ssi,sine,terminations.collided,0,0,3,0;0;0
ssi,sine,controller_cost.solve_ms_mean,8.72026,0.0219378,3,8.70729;8.7079;8.74559
ssi,sine,controller_cost.fail_frac,0,0,3,0;0;0
ssi,sine,controller_cost.saturated_frac,0.0128889,0.0164039,3,0.00222222;0.00466667;0.0317778
ssi,step,cycles_mean,2,0,3,2;2;2
ssi,step,wall_dist_err_cm,13.4675,5.22834,3,10.2777;10.6235;19.5014
ssi,step,tilt_heave_deg,2.60692,0.287194,3,2.31459;2.61748;2.88869
ssi,step,tilt_sway_deg,1.85967,0.685485,3,1.1938;2.56322;1.82199
ssi,step,crab_deg,1.38329,1.33725,3,0.439091;0.797271;2.91351
ssi,step,s_hat_err_cm,0,0,3,0;0;0
ssi,step,heave_speed_mps,0.199963,1.85006e-05,3,0.199978;0.19997;0.199943
ssi,step,sway_speed_mps,0.0997811,0.000276029,3,0.100099;0.0996012;0.0996432
ssi,step,terminations.collided,0,0,3,0;0;0
ssi,step,controller_cost.solve_ms_mean,8.79661,0.101504,3,8.72886;8.74766;8.91332
ssi,step,controller_cost.fail_frac,0,0,3,0;0;0
ssi,step,controller_cost.saturated_frac,0.0148148,0.016908,3,0.00466667;0.00544444;0.0343333
