method,cond,metric,mean,sd,n_trials,values
rc,sine,cycles_mean,2,0,3,2;2;2
rc,sine,wall_dist_err_cm,12.9225,4.41724,3,10.1742;10.5754;18.0178
rc,sine,tilt_heave_deg,1.04491,0.538926,3,1.26362;0.431014;1.44011
rc,sine,tilt_sway_deg,0.133859,0.0555433,3,0.160371;0.0700279;0.17118
rc,sine,crab_deg,0.897033,1.15742,3,0.095264;0.371904;2.22393
rc,sine,s_hat_err_cm,0,0,3,0;0;0
rc,sine,heave_speed_mps,0.200088,6.1634e-06,3,0.200092;0.200092;0.200081
rc,sine,sway_speed_mps,0.10046,3.70793e-05,3,0.100473;0.100489;0.100418
rc,sine,terminations.collided,0,0,3,0;0;0
rc,sine,controller_cost.solve_ms_mean,8.03509,0.629482,3,8.71112;7.92832;7.46581
rc,sine,controller_cost.fail_frac,0,0,3,0;0;0
rc,sine,controller_cost.saturated_frac,0.0184074,0.0166838,3,0.007;0.0106667;0.0375556
rc,step,cycles_mean,2,0,3,2;2;2
rc,step,wall_dist_err_cm,13.3563,4.98427,3,10.2613;10.7016;19.106
rc,step,tilt_heave_deg,1.56417,0.80278,3,1.95596;0.640728;2.09583
rc,step,tilt_sway_deg,0.212087,0.0779942,3,0.255715;0.122042;0.258505
rc,step,crab_deg,1.11679,1.43482,3,0.175181;0.407031;2.76816
rc,step,s_hat_err_cm,0,0,3,0;0;0
rc,step,heave_speed_mps,0.200097,1.99324e-05,3,0.200112;0.200104;0.200074
rc,step,sway_speed_mps,0.100468,4.65964e-05,3,0.10052;0.100453;0.100431
rc,step,terminations.collided,0,0,3,0;0;0
rc,step,controller_cost.solve_ms_mean,8.5305,0.309134,3,8.2206;8.53204;8.83886
rc,step,controller_cost.fail_frac,0,0,3,0;0;0
rc,step,controller_cost.saturated_frac,0.0199259,0.0168601,3,0.00888889;0.0115556;0.0393333
rc_naive,sine,cycles_mean,2,0,3,2;2;2
rc_naive,sine,wall_dist_err_cm,12.9249,4.42317,3,10.1804;10.567;18.0275
rc_naive,sine,tilt_heave_deg,1.0533,0.548534,3,1.26312;0.430824;1.46595
rc_naive,sine,tilt_sway_deg,0.133662,0.0564802,3,0.160782;0.0687368;0.171467
rc_naive,sine,crab_deg,0.945489,1.24141,3,0.100133;0.365611;2.37072
rc_naive,sine,s_hat_err_cm,0,0,3,0;0;0
rc_naive,sine,heave_speed_mps,0.200105,2.56502e-05,3,0.200116;0.200123;0.200076
rc_naive,sine,sway_speed_mps,0.10048,0.000108796,3,0.10053;0.100554;0.100355
rc_naive,sine,terminations.collided,0,0,3,0;0;0
rc_naive,sine,controller_cost.solve_ms_mean,7.91407,0.56997,3,8.55282;7.73205;7.45733
rc_naive,sine,controller_cost.fail_frac,0,0,3,0;0;0
rc_naive,sine,controller_cost.saturated_frac,0.0186667,0.0161738,3,0.00755556;0.0112222;0.0372222
rc_naive,step,cycles_mean,2,0,3,2;2;2
rc_naive,step,wall_dist_err_cm,13.3673,4.99953,3,10.2673;10.6998;19.1349
rc_naive,step,tilt_heave_deg,1.56844,0.80727,3,1.95513;0.640566;2.10963
rc_naive,step,tilt_sway_deg,0.210611,0.079536,3,0.254881;0.11879;0.258162
rc_naive,step,crab_deg,1.1389,1.44945,3,0.188739;0.420757;2.80722
rc_naive,step,s_hat_err_cm,0,0,3,0;0;0
rc_naive,step,heave_speed_mps,0.200104,3.48062e-05,3,0.200129;0.20012;0.200064
rc_naive,step,sway_speed_mps,0.100502,6.73449e-05,3,0.100569;0.100503;0.100435
rc_naive,step,terminations.collided,0,0,3,0;0;0
rc_naive,step,controller_cost.solve_ms_mean,8.63975,0.287761,3,8.31478;8.7422;8.86226
rc_naive,step,controller_cost.fail_frac,0,0,3,0;0;0
rc_naive,step,controller_cost.saturated_frac,0.02,0.0167877,3,0.00911111;0.0115556;0.0393333
