method,cond,metric,mean,sd,n_trials,values
diff,full,cycles_mean,2,0,5,2;2;2;2;2
diff,full,wall_dist_err_cm,12.0873,3.1084,5,10.1511;10.5655;17.4097;12.2769;10.0331
diff,full,tilt_heave_deg,0.133319,0.138211,5,0.0448481;0.0409045;0.321308;0.240843;0.0186904
diff,full,tilt_sway_deg,0.0283588,1.76846e-05,5,0.0283281;0.0283731;0.0283656;0.0283616;0.0283656
diff,full,crab_deg,0.582536,0.773477,5,0.00913758;0.302452;1.91292;0.570127;0.118044
diff,full,s_hat_err_cm,0,0,5,0;0;0;0;0
diff,full,heave_speed_mps,0.200241,1.81179e-08,5,0.200241;0.200241;0.200241;0.200241;0.200241
diff,full,sway_speed_mps,0.100547,9.51429e-08,5,0.100547;0.100547;0.100547;0.100547;0.100547
diff,full,terminations.collided,0,0,5,0;0;0;0;0
diff,full,controller_cost.solve_ms_mean,9.0675,0.368523,5,8.99944;9.45624;9.10625;9.28867;8.48692
diff,full,controller_cost.fail_frac,0,0,5,0;0;0;0;0
diff,full,controller_cost.saturated_frac,0.0152,0.0111387,5,0.00633333;0.0104444;0.0317778;0.0213333;0.00611111
diff,nopreview,cycles_mean,2,0,5,2;2;2;2;2
diff,nopreview,wall_dist_err_cm,12.0893,3.13113,5,10.1479;10.5693;17.4645;12.2309;10.0341
diff,nopreview,tilt_heave_deg,0.12262,0.132327,5,0.0310111;0.0337441;0.29246;0.239406;0.0164796
diff,nopreview,tilt_sway_deg,0.0457978,2.27303e-06,5,0.0457961;0.0457961;0.0457961;0.0458003;0.0458003
diff,nopreview,crab_deg,0.564208,0.775839,5,0.0101309;0.30318;1.9154;0.473847;0.118477
diff,nopreview,s_hat_err_cm,0,0,5,0;0;0;0;0
diff,nopreview,heave_speed_mps,0.194551,2.59871e-08,5,0.194551;0.194551;0.194551;0.194551;0.194551
diff,nopreview,sway_speed_mps,0.0894523,2.97211e-07,5,0.0894522;0.0894519;0.0894522;0.0894525;0.0894527
diff,nopreview,terminations.collided,0,0,5,0;0;0;0;0
diff,nopreview,controller_cost.solve_ms_mean,9.06787,0.285733,5,9.07287;9.02807;9.35197;9.26971;8.61675
diff,nopreview,controller_cost.fail_frac,0,0,5,0;0;0;0;0
diff,nopreview,controller_cost.saturated_frac,0.0132889,0.011397,5,0.00433333;0.00822222;0.0302222;0.0196667;0.004
diff,nosatskip,cycles_mean,2,0,5,2;2;2;2;2
diff,nosatskip,wall_dist_err_cm,12.1483,3.14273,5,10.1542;10.5552;17.4821;12.5032;10.0466
diff,nosatskip,tilt_heave_deg,0.125216,0.123243,5,0.044567;0.0453803;0.286685;0.229136;0.0203106
diff,nosatskip,tilt_sway_deg,0.0323457,2.73967e-05,5,0.0323262;0.0323637;0.0323487;0.0323787;0.0323111
diff,nosatskip,crab_deg,0.641085,0.807588,5,0.00830404;0.302859;1.97896;0.801717;0.113582
diff,nosatskip,s_hat_err_cm,0,0,5,0;0;0;0;0
diff,nosatskip,heave_speed_mps,0.200234,3.69312e-08,5,0.200234;0.200234;0.200234;0.200234;0.200234
diff,nosatskip,sway_speed_mps,0.100501,1.87849e-07,5,0.100501;0.100501;0.100501;0.100501;0.100501
diff,nosatskip,terminations.collided,0,0,5,0;0;0;0;0
diff,nosatskip,controller_cost.solve_ms_mean,7.22263,0.101764,5,7.09515;7.27282;7.32326;7.28922;7.13267
diff,nosatskip,controller_cost.fail_frac,0,0,5,0;0;0;0;0
diff,nosatskip,controller_cost.saturated_frac,0.0141111,0.0106704,5,0.00566667;0.00944444;0.0304444;0.0192222;0.00577778
diff,wub500,cycles_mean,2,0,5,2;2;2;2;2
diff,wub500,wall_dist_err_cm,12.1247,3.08465,5,10.1656;10.5545;17.348;12.5104;10.0451
diff,wub500,tilt_heave_deg,0.16289,0.142248,5,0.074721;0.0679489;0.372162;0.249842;0.0497771
diff,wub500,tilt_sway_deg,0.228718,3.44892e-05,5,0.228689;0.228703;0.228699;0.228775;0.228724
diff,wub500,crab_deg,0.597491,0.719746,5,0.00884529;0.310233;1.77316;0.776244;0.118975
diff,wub500,s_hat_err_cm,0,0,5,0;0;0;0;0
diff,wub500,heave_speed_mps,0.200122,5.34998e-08,5,0.200122;0.200122;0.200123;0.200122;0.200122
diff,wub500,sway_speed_mps,0.100845,5.6347e-07,5,0.100845;0.100844;0.100845;0.100845;0.100845
diff,wub500,terminations.collided,0,0,5,0;0;0;0;0
diff,wub500,controller_cost.solve_ms_mean,8.07869,0.0844131,5,7.94329;8.07542;8.16337;8.13335;8.07802
diff,wub500,controller_cost.fail_frac,0,0,5,0;0;0;0;0
diff,wub500,controller_cost.saturated_frac,0.0115556,0.0110761,5,0.00266667;0.00677778;0.0287778;0.0163333;0.00322222
