method,cond,metric,mean,sd,n_trials,values
ssi,lr0001,score.objective,679.085,1085.92,5,17.3621;126.267;2564.8;653.502;33.4901
ssi,lr0001,controller_cost.solve_ms_mean,8.9989,0.124295,5,8.87767;9.00973;9.11686;9.12366;8.8666
ssi,lr001,score.objective,679.517,1086.08,5,17.427;126.579;2565.33;654.686;33.5686
ssi,lr001,controller_cost.solve_ms_mean,7.94867,0.422443,5,8.69618;7.82591;7.73595;7.81283;7.67247
ssi,lr005,score.objective,696.257,1085.78,5,17.6479;127.25;2564.64;737.919;33.8291
ssi,lr005,controller_cost.solve_ms_mean,7.62181,0.0711815,5,7.51944;7.59787;7.61296;7.68889;7.68991
ssi,lr01,score.objective,681.823,1084.31,5,17.9093;127.62;2562.06;667.404;34.1175
ssi,lr01,controller_cost.solve_ms_mean,7.55081,0.0247738,5,7.5236;7.58046;7.56681;7.55589;7.52728
ssi,lr04,score.objective,695.655,1083,5,17.9809;127.762;2558.57;739.675;34.2888
ssi,lr04,controller_cost.solve_ms_mean,15.4561,0.383354,5,14.96;15.8811;15.6401;15.6455;15.1538
ssi,lr10,score.objective,694.443,1083.23,5,16.2848;126.366;2557.46;739.547;32.5599
ssi,lr10,controller_cost.solve_ms_mean,6.97501,0.079271,5,6.92526;7.07516;6.98355;7.01911;6.872
ssi,m100,score.objective,696.883,1082.87,5,18.0764;127.808;2558.17;746.058;34.3049
ssi,m100,controller_cost.solve_ms_mean,7.5172,0.0681721,5,7.49692;7.46141;7.58471;7.59383;7.44911
ssi,m25,score.objective,680.806,1083.51,5,18.7783;128.519;2561.03;660.628;35.0701
ssi,m25,controller_cost.solve_ms_mean,8.70055,0.115905,5,8.53333;8.74946;8.82943;8.75322;8.63733
ssi,m250,score.objective,704.851,1104.14,5,17.9574;127.696;2607.68;736.709;34.2096
ssi,m250,controller_cost.solve_ms_mean,7.62218,0.238327,5,7.49707;7.47177;7.59669;8.04005;7.50531
ssi,m50,score.objective,679.089,1083.33,5,18.4423;128.149;2560.24;653.782;34.8308
ssi,m50,controller_cost.solve_ms_mean,7.69214,0.426431,5,8.45007;7.46258;7.56094;7.539;7.44809
ssi,m500,score.objective,695.39,1083.26,5,18.0046;127.69;2559.18;737.865;34.2171
ssi,m500,controller_cost.solve_ms_mean,15.9179,0.641908,5,15.2838;15.7516;15.6499;16.9887;15.9152
