trial,objective,episodes,env_steps,wall_s,params
0,4166.41,3,13500,201.5,"{""werr"": [37.91911501831737, 229.43167724068675, 67.97778727313005, 36.34040246656973, 9.78906459488682, 108.40194217547871, 11.381753614017377, 1550.295838874778, 3374.6008058735506, 6.335489790233245, 525.1606843946108, 30.567601528504124], ""wu"": [0.25299019373302156]}"
1,104344,7,13500,203.5,"{""werr"": [2235.37731567053, 0.2156732618660143, 0.2566953288617171, 0.12445307827707325, 817.4396120856485, 453.4560821233924, 1225.0702346948294, 3967.3291735266807, 569.1439477749359, 14.73932791042135, 465.24657736208434, 0.359557191452094], ""wu"": [0.4156550566889367]}"
2,19787.1,3,13500,199.5,"{""werr"": [0.4716423532002822, 2747.710069183186, 28.323675540349477, 8.881452919551364, 1.7504063725685013, 434.61116900836925, 13.913510770761723, 46.88717590011644, 0.12254418523158843, 79.84554220174131, 75.20027709315656, 79.24180253046326], ""wu"": [3.390113510789916]}"
3,117932,3,13500,199.3,"{""werr"": [159.90171945808356, 4.890089875218341, 11.313579731133864, 189.7352674239554, 0.19186585118628038, 135.86787899296476, 141.67957098356624, 0.9740502091151569, 0.4034788789149694, 3.035207310057852, 5.117596054860437, 47.790053946536], ""wu"": [0.10346049328269172]}"
4,244754,3,13500,200.4,"{""werr"": [4408.989028483806, 0.3016515108086359, 0.9583090984800724, 0.572780977067935, 117.20238001641734, 1.5495644443380647, 15.53031749518914, 1.4078245202985151, 0.5584615857299066, 0.3301030047942196, 121.35929750699842, 0.4459822184439604], ""wu"": [0.019440932365768337]}"
5,7157.26,3,13500,199.7,"{""werr"": [5.402919747551549, 720.8129173335085, 0.28594070415710326, 865.9204287615446, 0.2828547890011667, 3875.731980588363, 15.928612201173946, 3888.401077545039, 69.52659400725649, 297.69900622350355, 0.15280665197235982, 2.1325608602572066], ""wu"": [0.011469901490655937]}"
6,144670,3,13500,199.2,"{""werr"": [2.463507593245803, 0.36132498227768955, 3.1202789541953244, 8.84319873536674, 0.20018298514466865, 179.43440452239153, 45.96669061596802, 1.7662706704858258, 28.755896252659227, 0.27632720373428304, 50.85753500843012, 2326.6708971038315], ""wu"": [0.04515198644442966]}"
7,8048.96,18,13500,200.4,"{""werr"": [136.8174072300403, 0.4162116211335307, 232.2737039400007, 2.290395859075834, 0.7257895570798429, 57.01730524746355, 0.12430390047880752, 785.5328161377871, 0.10521166701420684, 153.1226987551076, 1.8567753715497233, 284.87520933489037], ""wu"": [3.8506641324695607]}"
8,185336,3,13500,199.3,"{""werr"": [1.4753109298014317, 50.97368516185685, 60.53231401761913, 48.8646216252886, 1.1175163871358165, 2998.741478035078, 12.619110471132943, 948.9623088748558, 193.56736288297603, 2.4983156600936227, 666.8244944454443, 7.29740723272662], ""wu"": [2.199275294762116]}"
9,606.439,3,13500,200.1,"{""werr"": [53.87456702152605, 1390.7466327818302, 179.54990051593268, 255.82801811357334, 22.683404277668156, 3108.911226898804, 106.1917136643058, 9.810297086184137, 70.70066911775817, 0.12308021979768584, 2.612708857594706, 126.5131445064924], ""wu"": [0.03708538790252612]}"
10,195152,3,13500,200.0,"{""werr"": [0.12460947670709799, 17.00091984472293, 2999.6906441558162, 2335.350889403616, 2888.2775334498087, 0.12233195636218548, 0.44780930038875877, 35.246954841335196, 3.7247797296239877, 4681.624642404466, 0.10867017499948821, 3983.1915297548917], ""wu"": [0.4997338665110145]}"
11,1794.48,3,13500,200.4,"{""werr"": [39.36483736253635, 324.74215268749873, 743.6838057572832, 219.42776421356467, 19.025079384138408, 13.077317622843493, 356.79076171199466, 0.11765117430054975, 3730.7375841528174, 0.12586816645517915, 1970.3135073055062, 14.203328914706628], ""wu"": [0.14783364726380557]}"
12,1269.05,3,13500,199.6,"{""werr"": [30.647079656430062, 4070.6959603904374, 1177.6577925277322, 439.2186497152632, 26.06702246129299, 8.123812543406146, 3911.0777484037576, 0.20583365122383623, 2919.5967666124443, 0.10445784084729282, 3685.2208893294855, 596.2217012184951], ""wu"": [0.057298202974393246]}"
13,5976.18,3,13500,200.5,"{""werr"": [22.553834792854715, 4895.19079290488, 1238.6688575517119, 3869.339630898059, 43.856679381760166, 3.121527769812913, 4165.671949604229, 0.10666979841790607, 10.002554761375318, 0.5030006804820398, 6.436988914912428, 553.9485350863823], ""wu"": [0.005679632577946474]}"
14,320.556,3,13500,201.2,"{""werr"": [428.3618563011429, 810.0329980924799, 319.9067997657475, 449.56504070343044, 269.7455523359238, 0.3626017095646659, 4292.619840620065, 17.257892159635933, 987.1923779506562, 0.11242635629890786, 3511.511116057829, 375.17575750423464], ""wu"": [0.0441909877909174]}"
15,447.174,3,13500,200.4,"{""werr"": [527.5894308710385, 786.6129391557952, 319.41977352168726, 66.42168336853264, 158.5488754352421, 0.2255254703443099, 1.3844592754896325, 18.555173328246003, 499.4447554662378, 0.9095076200636945, 0.8452210881931566, 178.27229081896195], ""wu"": [0.025411809460017407]}"
16,407.171,3,13500,200.8,"{""werr"": [893.8717221488, 102.90356946269831, 305.99346579056714, 57.882971303789795, 388.06957382061825, 0.25847769785995284, 1.4066880695475077, 131.17816231796965, 485.0144582970632, 1.0963377806070602, 21.278754752662547, 1118.2369300010898], ""wu"": [0.015861689971751657]}"
17,377.982,3,13500,201.5,"{""werr"": [788.3212476483691, 79.87057075308758, 9.770245810959478, 15.336565922198448, 452.10605154995767, 0.6151549313925067, 2.135286628471991, 107.11236559765771, 875.3092453826475, 1.2228965754054664, 32.589280314486025, 1332.667766424453], ""wu"": [0.005332314695997037]}"
18,1648.91,3,13500,202.4,"{""werr"": [494.71536709432763, 9.556680090326145, 8.711957470363261, 7.820595593447655, 2395.9437900640282, 0.5737846711109315, 799.2156955856567, 208.94362794747897, 1229.163365873479, 21.471504743937412, 24.740659951548526, 1585.6848966374696], ""wu"": [0.007861695202180654]}"
19,7925.82,16,13500,200.5,"{""werr"": [186.79302140928527, 1.96689352128559, 1.7141997029624512, 1.541589972704558, 962.293999812412, 1.113354538958706, 2.3678261770483466, 6.1846969512442875, 157.50571652619215, 1.6746605771373895, 242.33860437980078, 526.628993163133], ""wu"": [1.0155524264858509]}"
20,365.212,3,13500,201.4,"{""werr"": [1512.017192880736, 59.139597872942915, 10.637029392003596, 1006.2358430636559, 148.50486664578239, 4.38026924012191, 2.8732573353675583, 183.67806740934688, 1186.5149812795398, 7.915447727584018, 1521.8865243065948, 4696.672744027044], ""wu"": [0.00508607403358239]}"
21,412.095,3,13500,200.9,"{""werr"": [1522.3762953578114, 44.96949948827763, 5.925578658099214, 726.3920245801816, 160.04587024063187, 4.397163204761939, 0.27415664521394745, 175.1025839786277, 1139.0220242305345, 14.827818225229422, 4804.798208555271, 4454.174817632095], ""wu"": [0.006194823085155155]}"
22,426.679,3,13500,200.9,"{""werr"": [4959.778020144428, 118.16635485391001, 20.296721976814148, 939.9232854204571, 376.33465739428783, 0.6348739926360051, 4.640619424679042, 76.72365954721283, 1401.2233595517614, 5.580713425012787, 1498.8917481412054, 2237.4589265182403], ""wu"": [0.011005751112709823]}"
23,8954.19,3,13500,200.4,"{""werr"": [332.61972144305605, 26.63094486218204, 54.55025419368877, 2479.2037000415444, 93.16300519521855, 20.900060862599737, 0.6692170822384326, 371.26725879449657, 184.07003601797987, 54.086422787091685, 1275.0100069122882, 990.028744975264], ""wu"": [0.06560899289380123]}"
24,862.446,3,13500,200.8,"{""werr"": [1167.4754208803329, 282.9551005680379, 0.7278629818539767, 110.78573331309033, 4.414304249914121, 3.018765888173438, 4.202280161749438, 4.240992465034605, 412.29230215617144, 0.4808675802108438, 207.81286893955837, 365.6100031723215], ""wu"": [0.0056705269129888386]}"
25,568.564,3,13500,200.6,"{""werr"": [2558.1879891354097, 91.72112485332582, 4367.515261012252, 17.586218293022654, 428.3490429715358, 0.4177225157665914, 49.757838301513544, 19.258110083861798, 4866.414943359141, 814.2860886905446, 2135.705707701247, 4290.1189675502665], ""wu"": [0.027157366017883683]}"
26,29839.9,3,13500,200.5,"{""werr"": [676.427556191856, 2.2131195859316986, 2.8110754369658277, 1183.9631952368738, 1525.1513924697597, 1.289640511459056, 0.1578283380545076, 41.923688020067054, 1639.5906456255445, 5.757707347054302, 601.2282187500294, 195.49738038330784], ""wu"": [0.012480771406447688]}"
27,715.835,3,13500,199.6,"{""werr"": [94.84038668639518, 431.1837561845425, 95.9370703221832, 19.078017216398553, 4483.475054767039, 0.11949091685254529, 0.7873824488984997, 421.73139170781576, 56.421286995434606, 0.9226612524141004, 23.565292671723753, 1677.095436528125], ""wu"": [0.10440819510466358]}"
28,597.14,3,13500,204.0,"{""werr"": [294.22337520688717, 1047.0379517381941, 0.11668364855670302, 2.136155690547112, 82.04622991518337, 31.487649377247024, 5.029960916075789, 94.48036334953004, 276.058204822996, 34.29418695817744, 0.5871144375848102, 828.1200795134448], ""wu"": [0.008487026783190195]}"
29,2740.56,3,13500,208.8,"{""werr"": [9.21330986533733, 148.32144994686098, 21.618734112108452, 446.1963426888913, 7.509838516438058, 5.179015210697892, 1650.3821894656405, 326.5781456256169, 932.5182777493072, 8.116435964506149, 292.7372464719362, 95.52528734944134], ""wu"": [0.026109764894396304]}"
30,20979.2,3,13500,209.8,"{""werr"": [1812.450980355464, 46.61290873184987, 93.59805473225855, 26.351718215827475, 277.07617470055715, 1.7376725156290653, 296.63408650638655, 1843.07056811404, 2910.9037104753925, 3.2284693400730236, 817.2527641926401, 0.105076306102443], ""wu"": [0.2089907750988025]}"
31,339.596,3,13500,209.2,"{""werr"": [973.711155748029, 172.41624268248586, 565.9506381405836, 73.27255884440429, 741.0175792781274, 0.28731594074184674, 1.2835500312177734, 123.04349344849355, 626.6993109144498, 0.9418610932163204, 22.299668002452854, 1179.7116608267224], ""wu"": [0.01608345848274258]}"
32,408.765,3,13500,209.4,"{""werr"": [321.4650793255869, 203.72319181522735, 704.5675581739791, 167.97947852413535, 1282.072164901809, 0.3009749834987458, 1.710549172279437, 18.285743963092532, 821.0973390067343, 0.1930108864078289, 11.962735195742523, 2326.04133437175], ""wu"": [0.016630816333869553]}"
33,834.716,3,13500,210.2,"{""werr"": [2492.3687424491814, 18.39220346445827, 39.70834897433836, 4.577309324675913, 586.0661083593852, 0.7221198590616934, 0.3453488545947875, 66.35259145712043, 1960.2514089541237, 0.6306326763204974, 37.72388441185922, 384.4387361242619], ""wu"": [0.009101758352431986]}"
34,406.008,3,13500,209.5,"{""werr"": [890.0771162228866, 1654.5780211527956, 14.694667403463301, 101.31619570264213, 47.700723115660345, 0.16587001975001123, 30.43897804084359, 25.53799634512581, 320.29437747360504, 1.6752132982474166, 118.17307863310563, 50.626664557944956], ""wu"": [0.005221848591730565]}"
35,523.189,3,13500,207.7,"{""werr"": [79.41709986020737, 517.5090958388452, 4.017886385670784, 377.38419367047095, 234.40062214040563, 2.214711974254735, 6.694193408099422, 10.294979627736568, 113.62405020391455, 10.36298086469123, 9.32829592280297, 1179.41453361914], ""wu"": [0.01797972707119862]}"
36,968.775,3,13500,209.9,"{""werr"": [3022.658006139056, 63.88942914104156, 562.9624219221103, 0.32179622182457823, 1005.4039054929262, 0.8846834312397619, 2.5167021960231373, 237.27232549603426, 878.2569656553125, 3.7107740808864254, 74.81938267906797, 2605.423856844614], ""wu"": [0.03790653542399875]}"
37,4352.17,3,13500,202.9,"{""werr"": [228.7256423942378, 8.490972905684714, 118.61327194907572, 1563.997115565614, 674.3414077031448, 0.40926666912602, 0.9228068219991628, 668.0069633635487, 648.3849793703451, 0.23306040712239343, 3020.3439514913634, 236.60274423080182], ""wu"": [0.012661408460667297]}"
38,741.074,3,13500,201.1,"{""werr"": [1257.9130676364111, 198.79209225905936, 2276.3505016299487, 33.78668159828761, 57.06138317556653, 7.534756865017157, 8.59983240527984, 112.50211640756054, 2768.4438243672075, 1.5065766094140611, 138.33142992448438, 30.06488077111357], ""wu"": [0.0886191613363763]}"
39,479.869,3,13500,201.3,"{""werr"": [546.548805826878, 2081.3606569393605, 0.516379095427372, 4754.469816260966, 234.25105029022663, 1209.1532117568704, 23.28502045500763, 2340.496364531655, 18.30547272504023, 0.4797884249768459, 344.6805275752847, 860.9148104171916], ""wu"": [0.008026531471603524]}"
40,1878.87,3,13500,200.3,"{""werr"": [130.9290576562746, 27.936426718411504, 1.3744908095165291, 100.73115356395121, 1774.4985989854908, 0.18615321426728962, 0.19010220043271842, 2.3576360880749214, 293.8982090475766, 0.28360844662950047, 1085.1313927071385, 4970.401594030711], ""wu"": [0.022071178409023007]}"
