trial,objective,episodes,env_steps,wall_s,params
0,2308.42,1,4500,72.9,"{""werr"": [37.91911501831737, 229.43167724068675, 67.97778727313005, 36.34040246656973, 9.78906459488682, 108.40194217547871, 11.381753614017377, 1550.295838874778, 3374.6008058735506, 6.335489790233245, 525.1606843946108, 30.567601528504124], ""wu"": [0.25299019373302156]}"
1,208427,1,4500,71.8,"{""werr"": [2235.37731567053, 0.2156732618660143, 0.2566953288617171, 0.12445307827707325, 817.4396120856485, 453.4560821233924, 1225.0702346948294, 3967.3291735266807, 569.1439477749359, 14.73932791042135, 465.24657736208434, 0.359557191452094], ""wu"": [0.4156550566889367]}"
2,18410.7,1,4500,70.0,"{""werr"": [0.4716423532002822, 2747.710069183186, 28.323675540349477, 8.881452919551364, 1.7504063725685013, 434.61116900836925, 13.913510770761723, 46.88717590011644, 0.12254418523158843, 79.84554220174131, 75.20027709315656, 79.24180253046326], ""wu"": [3.390113510789916]}"
3,115662,1,4500,71.3,"{""werr"": [159.90171945808356, 4.890089875218341, 11.313579731133864, 189.7352674239554, 0.19186585118628038, 135.86787899296476, 141.67957098356624, 0.9740502091151569, 0.4034788789149694, 3.035207310057852, 5.117596054860437, 47.790053946536], ""wu"": [0.10346049328269172]}"
5,2308.42,1,4500,63.6,"{""werr"": [37.91911501831737, 229.43167724068675, 67.97778727313005, 36.34040246656973, 9.78906459488682, 108.40194217547871, 11.381753614017377, 1550.295838874778, 3374.6008058735506, 6.335489790233245, 525.1606843946108, 30.567601528504124], ""wu"": [0.25299019373302156]}"
6,208427,1,4500,63.8,"{""werr"": [2235.37731567053, 0.2156732618660143, 0.2566953288617171, 0.12445307827707325, 817.4396120856485, 453.4560821233924, 1225.0702346948294, 3967.3291735266807, 569.1439477749359, 14.73932791042135, 465.24657736208434, 0.359557191452094], ""wu"": [0.4156550566889367]}"
7,18410.7,1,4500,62.2,"{""werr"": [0.4716423532002822, 2747.710069183186, 28.323675540349477, 8.881452919551364, 1.7504063725685013, 434.61116900836925, 13.913510770761723, 46.88717590011644, 0.12254418523158843, 79.84554220174131, 75.20027709315656, 79.24180253046326], ""wu"": [3.390113510789916]}"
8,115662,1,4500,62.3,"{""werr"": [159.90171945808356, 4.890089875218341, 11.313579731133864, 189.7352674239554, 0.19186585118628038, 135.86787899296476, 141.67957098356624, 0.9740502091151569, 0.4034788789149694, 3.035207310057852, 5.117596054860437, 47.790053946536], ""wu"": [0.10346049328269172]}"
9,201553,1,4500,62.3,"{""werr"": [4408.989028483806, 0.3016515108086359, 0.9583090984800724, 0.572780977067935, 117.20238001641734, 1.5495644443380647, 15.53031749518914, 1.4078245202985151, 0.5584615857299066, 0.3301030047942196, 121.35929750699842, 0.4459822184439604], ""wu"": [0.019440932365768337]}"
10,12760.9,1,4500,61.2,"{""werr"": [5.402919747551549, 720.8129173335085, 0.28594070415710326, 865.9204287615446, 0.2828547890011667, 3875.731980588363, 15.928612201173946, 3888.401077545039, 69.52659400725649, 297.69900622350355, 0.15280665197235982, 2.1325608602572066], ""wu"": [0.011469901490655937]}"
11,38671.4,1,4500,61.1,"{""werr"": [0.12460947670709834, 28.46751754325448, 2999.6906441558167, 2335.3508894036136, 55.126820893294514, 0.12300286674929073, 0.19010555050918373, 180.06245073511084, 16.262913182665137, 4681.624642404457, 0.11312738334675045, 3983.191529754892], ""wu"": [0.03455619146984339]}"
12,20633.5,1,4500,60.9,"{""werr"": [22.641626007096512, 177.2338212561285, 743.6838057572813, 16.742869808168564, 9.90160413895622, 13.077317622843482, 0.8902420213750188, 429.91873800210124, 4038.4458769713515, 0.13759679409471479, 3631.066586979256, 6.8661157893923015], ""wu"": [0.4718007044685589]}"
13,2710.97,1,4500,61.2,"{""werr"": [16.342856862047885, 126.12615886544604, 215.08246122115958, 32.57708030309931, 13.472196401963897, 10.621727155884303, 1.7666826088157148, 316.98386376343853, 4288.594003204438, 1.286014764266137, 3692.741884364724, 686.240766769476], ""wu"": [0.13540160721377856]}"
14,33865.5,1,4500,61.3,"{""werr"": [153.35618228399295, 204.82706677903164, 162.14390223715213, 102.97256904798328, 4.955577674745055, 18.974524525273793, 94.10134122488918, 1077.0530313785798, 656.2616210490567, 16.965625086569222, 596.336156642966, 11.525728010195007], ""wu"": [1.1398400821088817]}"
