trial,objective,episodes,env_steps,wall_s,params
0,313.237,3,13500,229.6,"{""lr"": [0.01567667719550607], ""kernel_std"": [2.693883019285411]}"
1,313.94,3,13500,230.0,"{""lr"": [0.02576638574613589], ""kernel_std"": [1.2296071107325712]}"
2,288.995,3,13500,233.4,"{""lr"": [0.004950159553733192], ""kernel_std"": [1.9578897201213006]}"
3,289.324,3,13500,231.0,"{""lr"": [0.0056279320474151686], ""kernel_std"": [6.074996073425697]}"
4,289.844,3,13500,210.0,"{""lr"": [0.7155682161754863], ""kernel_std"": [0.5846326121643414]}"
5,293.333,3,13500,206.7,"{""lr"": [0.1468588598920085], ""kernel_std"": [1.1423254155608376]}"
6,312.806,3,13500,206.6,"{""lr"": [0.018714500686240674], ""kernel_std"": [7.098936257405906]}"
7,293.351,3,13500,206.8,"{""lr"": [0.00019237305096546508], ""kernel_std"": [0.1493683554419846]}"
8,288.813,3,13500,206.8,"{""lr"": [0.00012046852412030328], ""kernel_std"": [4.626362841475587]}"
9,288.294,3,13500,206.1,"{""lr"": [0.1296065659727972], ""kernel_std"": [5.49571618641162]}"
10,309.421,3,13500,207.3,"{""lr"": [0.0011296453983641857], ""kernel_std"": [0.1286719900030155]}"
11,312.945,3,13500,207.8,"{""lr"": [0.00012108081598113414], ""kernel_std"": [4.145537673058561]}"
12,312.884,3,13500,208.0,"{""lr"": [0.0007351504387340492], ""kernel_std"": [9.527491465727364]}"
13,291.789,3,13500,206.2,"{""lr"": [0.3148057997078138], ""kernel_std"": [3.208835982805262]}"
14,290.597,3,13500,205.6,"{""lr"": [0.12624210995423674], ""kernel_std"": [4.850223810568794]}"
15,291.539,3,13500,207.6,"{""lr"": [0.0007103886828073492], ""kernel_std"": [1.7430028639258095]}"
16,291.734,3,13500,206.3,"{""lr"": [0.06138924088787244], ""kernel_std"": [0.6399061916397788]}"
17,291.575,3,13500,208.5,"{""lr"": [0.003013430600218179], ""kernel_std"": [9.784689061333458]}"
18,322.072,3,13500,205.8,"{""lr"": [0.7865935076179587], ""kernel_std"": [2.8808121184687803]}"
19,289.681,3,13500,206.1,"{""lr"": [0.0004213848706945012], ""kernel_std"": [0.28260946187629726]}"
20,312.629,3,13500,207.1,"{""lr"": [0.0020723312332315063], ""kernel_std"": [4.589568139413415]}"
21,310.064,3,13500,206.4,"{""lr"": [0.008215460758075818], ""kernel_std"": [1.9010715579072346]}"
22,314.318,3,13500,205.0,"{""lr"": [0.04899017526287173], ""kernel_std"": [2.014257511375523]}"
23,289.54,3,13500,208.0,"{""lr"": [0.00027185890861717985], ""kernel_std"": [1.0118406151700206]}"
24,291.75,3,13500,204.9,"{""lr"": [0.005930916979641111], ""kernel_std"": [6.352823633317459]}"
25,289.359,3,13500,205.8,"{""lr"": [0.002047261921253462], ""kernel_std"": [3.449729222083458]}"
26,291.354,3,13500,204.6,"{""lr"": [0.1717280566888304], ""kernel_std"": [2.505561725276617]}"
27,312.705,3,13500,205.8,"{""lr"": [0.05769196032491096], ""kernel_std"": [0.6894140015889001]}"
28,294.406,3,13500,204.8,"{""lr"": [0.3329029246922191], ""kernel_std"": [7.059524889079301]}"
29,289.643,3,13500,206.0,"{""lr"": [0.011821355573045103], ""kernel_std"": [1.4159604629073967]}"
30,290.907,3,13500,206.5,"{""lr"": [0.0001080086914562072], ""kernel_std"": [2.5903790377734786]}"
31,290.593,3,13500,204.8,"{""lr"": [0.025289039422447264], ""kernel_std"": [5.263541819566113]}"
32,312.934,3,13500,205.0,"{""lr"": [0.004372682840813444], ""kernel_std"": [3.8236401442997745]}"
33,294.039,3,13500,205.5,"{""lr"": [0.010695639313591212], ""kernel_std"": [6.529141310036959]}"
34,290.58,3,13500,207.1,"{""lr"": [0.001353230339460014], ""kernel_std"": [8.726249255789599]}"
35,291.538,3,13500,206.8,"{""lr"": [0.032383714191384305], ""kernel_std"": [5.62253938759305]}"
36,318.367,3,13500,213.6,"{""lr"": [0.42397759293465603], ""kernel_std"": [0.8173486363391952]}"
37,290.621,3,13500,212.7,"{""lr"": [0.00027670266888360555], ""kernel_std"": [0.3898134046824317]}"
38,286.072,3,13500,212.4,"{""lr"": [0.10094578438900782], ""kernel_std"": [1.397031716527068]}"
39,317.025,3,13500,212.4,"{""lr"": [0.08981768888549167], ""kernel_std"": [0.47186408170213484]}"
40,291.045,3,13500,212.2,"{""lr"": [0.2158421128426093], ""kernel_std"": [1.413326302546565]}"
41,297.289,3,13500,212.4,"{""lr"": [0.09600069897985183], ""kernel_std"": [2.308565020131671]}"
42,313.518,3,13500,212.6,"{""lr"": [0.018648379786741304], ""kernel_std"": [1.0570092392796295]}"
43,301.555,3,13500,212.5,"{""lr"": [0.5803249107260542], ""kernel_std"": [4.095513983847012]}"
44,288.183,3,13500,208.7,"{""lr"": [0.03327230980110449], ""kernel_std"": [1.500391648282816]}"
45,314.279,3,13500,205.1,"{""lr"": [0.030207975990241675], ""kernel_std"": [1.542612104465664]}"
46,318.262,3,13500,204.7,"{""lr"": [0.23763538786527733], ""kernel_std"": [0.8463769207798444]}"
47,290.111,3,13500,205.1,"{""lr"": [0.03985580867448292], ""kernel_std"": [1.2600812879955456]}"
48,315.169,3,13500,205.1,"{""lr"": [0.10706852081421822], ""kernel_std"": [3.190712685304842]}"
49,291.454,3,13500,206.2,"{""lr"": [0.0006795486984124156], ""kernel_std"": [2.087573134398019]}"
50,315.038,3,13500,205.4,"{""lr"": [0.06282728462284812], ""kernel_std"": [1.6709846318333033]}"
51,312.657,3,13500,205.9,"{""lr"": [0.004767525321483584], ""kernel_std"": [8.061126488991238]}"
52,291.29,3,13500,205.0,"{""lr"": [0.014284828208007902], ""kernel_std"": [5.2037704145942465]}"
53,286.796,3,13500,204.4,"{""lr"": [0.1470983328329295], ""kernel_std"": [2.862863420435197]}"
54,316,3,13500,204.9,"{""lr"": [0.13591497251168863], ""kernel_std"": [2.9829250124686006]}"
55,295.49,3,13500,204.8,"{""lr"": [0.08389186237096698], ""kernel_std"": [2.2004158834219463]}"
56,317.364,3,13500,205.2,"{""lr"": [0.16056539686923543], ""kernel_std"": [3.710682366090242]}"
57,289.123,3,13500,204.9,"{""lr"": [0.24176963912956778], ""kernel_std"": [1.7931934426484797]}"
58,314.673,3,13500,204.9,"{""lr"": [0.44264366271076044], ""kernel_std"": [4.478463118890694]}"
59,315.693,3,13500,205.1,"{""lr"": [0.06870823620343731], ""kernel_std"": [1.2419501740204486]}"
60,290.468,3,13500,204.9,"{""lr"": [0.043003503057237304], ""kernel_std"": [2.497442524738747]}"
61,293.922,3,13500,205.0,"{""lr"": [0.27284981216660775], ""kernel_std"": [1.8211683515974235]}"
62,287.223,3,13500,216.1,"{""lr"": [0.17813961673966336], ""kernel_std"": [1.5958939532544074]}"
63,311.3,3,13500,226.8,"{""lr"": [0.1746476627208095], ""kernel_std"": [0.9114873558563026]}"
64,313.638,3,13500,226.6,"{""lr"": [0.12038747965899116], ""kernel_std"": [2.813071564842147]}"
65,292.882,3,13500,207.6,"{""lr"": [0.34937483905376693], ""kernel_std"": [1.419343025441876]}"
66,315.138,3,13500,204.8,"{""lr"": [0.8226071819694663], ""kernel_std"": [1.146145758862021]}"
67,312.709,3,13500,205.0,"{""lr"": [0.023707630193347172], ""kernel_std"": [3.376292035874356]}"
68,294.464,3,13500,205.2,"{""lr"": [0.608322498606168], ""kernel_std"": [0.714411252770289]}"
69,289.718,3,13500,205.8,"{""lr"": [0.00844390960297375], ""kernel_std"": [2.011118363863399]}"
70,290.088,3,13500,205.8,"{""lr"": [0.0024661032372808936], ""kernel_std"": [1.5636271664976296]}"
71,312.447,3,13500,205.3,"{""lr"": [0.2250098749962386], ""kernel_std"": [1.7844723421984892]}"
72,291.988,3,13500,204.7,"{""lr"": [0.1983968042192421], ""kernel_std"": [2.3897416380602876]}"
73,288.329,3,13500,205.1,"{""lr"": [0.12819402989591097], ""kernel_std"": [0.9860815853486797]}"
74,288.185,3,13500,206.4,"{""lr"": [0.00013861928647219903], ""kernel_std"": [0.2270000386564286]}"
75,286.5,3,13500,205.0,"{""lr"": [0.0003175270098341952], ""kernel_std"": [0.15447391444888425]}"
76,291.775,3,13500,205.9,"{""lr"": [0.00016805318502301553], ""kernel_std"": [0.17257957961183945]}"
77,313.873,3,13500,206.6,"{""lr"": [0.00015110111816490798], ""kernel_std"": [0.22677234040955008]}"
78,293.032,3,13500,205.2,"{""lr"": [0.08368413074648932], ""kernel_std"": [0.12313387737737487]}"
79,289.658,3,13500,204.9,"{""lr"": [0.00032147384403865105], ""kernel_std"": [0.10653138589319307]}"
80,292.755,3,13500,205.5,"{""lr"": [0.0005195814733459578], ""kernel_std"": [0.1785144617222822]}"
81,312.329,3,13500,207.8,"{""lr"": [0.00010110608922301842], ""kernel_std"": [0.2823305863838971]}"
82,312.102,3,13500,206.2,"{""lr"": [0.0001979512652349912], ""kernel_std"": [0.2378346582249942]}"
83,312.565,3,13500,207.0,"{""lr"": [0.00013562084627007236], ""kernel_std"": [0.1419604843827966]}"
84,312.074,3,13500,207.2,"{""lr"": [0.00021266605218659112], ""kernel_std"": [0.5369360836429096]}"
85,291.04,3,13500,205.5,"{""lr"": [0.0003843640008766877], ""kernel_std"": [0.36399534032642245]}"
86,312.487,3,13500,207.1,"{""lr"": [0.0013176672707638868], ""kernel_std"": [7.267446508288278]}"
87,285.583,3,13500,205.0,"{""lr"": [0.14733286466312384], ""kernel_std"": [0.18398034704266503]}"
88,288.603,3,13500,205.0,"{""lr"": [0.13632191824204432], ""kernel_std"": [0.17607004326132575]}"
89,293.063,3,13500,206.4,"{""lr"": [0.07419296578259466], ""kernel_std"": [0.10853117818378102]}"
90,291.223,3,13500,206.9,"{""lr"": [0.051566897620216705], ""kernel_std"": [0.15440949755389166]}"
91,287.812,3,13500,214.3,"{""lr"": [0.14707265164373123], ""kernel_std"": [0.18502832870793762]}"
92,291.979,3,13500,213.1,"{""lr"": [0.10854349369871209], ""kernel_std"": [0.20883903096543224]}"
93,311.455,3,13500,213.4,"{""lr"": [0.16784466502973128], ""kernel_std"": [0.15540326922569436]}"
94,314.627,3,13500,213.8,"{""lr"": [0.434570630541892], ""kernel_std"": [0.20095511736745514]}"
95,314.489,3,13500,213.1,"{""lr"": [0.29174477650810476], ""kernel_std"": [0.28334242676069077]}"
96,289.569,3,13500,213.2,"{""lr"": [0.12379238028039721], ""kernel_std"": [0.1369835671542862]}"
97,314.235,3,13500,213.3,"{""lr"": [0.15031313356278958], ""kernel_std"": [0.2542674207188848]}"
98,294.759,3,13500,214.1,"{""lr"": [0.10024233319000084], ""kernel_std"": [0.11724309449950583]}"
99,313.153,3,13500,207.6,"{""lr"": [0.18635226085741052], ""kernel_std"": [0.37256665479097284]}"
87,289.317,6,27000,408.7,"{""lr"": [0.14733286466312384], ""kernel_std"": [0.18398034704266503]}"
38,291.767,6,27000,408.8,"{""lr"": [0.10094578438900782], ""kernel_std"": [1.397031716527068]}"
75,289.601,6,27000,410.7,"{""lr"": [0.0003175270098341952], ""kernel_std"": [0.15447391444888425]}"
