trial,objective,episodes,env_steps,wall_s,params
0,9.36402,1,4500,63.9,"{""lr"": [0.01567667719550607], ""kernel_std"": [2.693883019285411]}"
1,4291.41,1,4500,64.3,"{""lr"": [0.02576638574613589], ""kernel_std"": [1.2296071107325712]}"
2,30231.5,1,4500,61.6,"{""lr"": [0.004950159553733192], ""kernel_std"": [1.9578897201213006]}"
3,8.96257,1,4500,62.0,"{""lr"": [0.0056279320474151686], ""kernel_std"": [6.074996073425697]}"
4,32671.9,1,4500,61.9,"{""lr"": [0.7155682161754863], ""kernel_std"": [0.5846326121643414]}"
5,636.033,1,4500,62.3,"{""lr"": [0.1468588598920085], ""kernel_std"": [1.1423254155608376]}"
6,33459.8,1,4500,61.3,"{""lr"": [0.018714500686240674], ""kernel_std"": [7.098936257405906]}"
7,6487.24,1,4500,61.2,"{""lr"": [0.00019237305096546508], ""kernel_std"": [0.1493683554419846]}"
8,46.0895,1,4500,62.7,"{""lr"": [0.00012046852412030328], ""kernel_std"": [4.626362841475587]}"
9,3659.03,1,4500,62.1,"{""lr"": [0.1296065659727972], ""kernel_std"": [5.49571618641162]}"
10,874.95,1,4500,61.5,"{""lr"": [0.001206308458875406], ""kernel_std"": [0.12858991991762747]}"
11,35117,1,4500,61.3,"{""lr"": [0.0029295858259043633], ""kernel_std"": [2.788819177045112]}"
12,1429.63,1,4500,62.9,"{""lr"": [0.017811474222390943], ""kernel_std"": [9.539094314029326]}"
13,1800,1,4500,62.9,"{""lr"": [0.0011983724566403872], ""kernel_std"": [3.386680778417833]}"
14,2569.46,1,4500,62.7,"{""lr"": [0.008896385336890269], ""kernel_std"": [0.5729249823734855]}"
15,179.642,1,4500,60.6,"{""lr"": [0.08514241585355901], ""kernel_std"": [1.8618228464914843]}"
16,26986.2,1,4500,61.3,"{""lr"": [0.0017872675842205165], ""kernel_std"": [0.6399061916397787]}"
17,21018.1,1,4500,60.9,"{""lr"": [0.0004401396534360722], ""kernel_std"": [9.624619350478989]}"
18,95.2043,1,4500,60.3,"{""lr"": [0.07188987046390968], ""kernel_std"": [3.577954220482149]}"
19,4524.83,1,4500,60.1,"{""lr"": [0.3758538399826167], ""kernel_std"": [0.2826094618762973]}"
20,32173.9,1,4500,60.3,"{""lr"": [0.03992050117832748], ""kernel_std"": [2.0938565942737055]}"
